編號,法條,TextID,Sentence,犯罪後之態度,犯罪之手段與所生損害,被害人的態度,被告之品行,其他審酌事項,有利,中性,不利
2094,第222條第1項,fc33b80534,已因和解而賠償新臺幣（下同）15萬元，,0,0,1,0,0,1,0,0
2095,第222條第1項,fe1fe5202f,"其因一時失慮致
    犯本案，而其犯罪手段係強行撫摸，猥褻時間非長，亦未對
    甲施以強暴手段而傷及甲，對被害人之侵害程度較低，犯
    罪情節非重",0,1,0,0,0,1,0,0
2096,第222條第1項,fe1fe5202f,"惟
    被告除本案外，並無其他犯罪前科",0,0,0,1,0,1,0,0
2097,第222條第1項,fe1fe5202f,"且被告犯後已與甲○父母成立和解，並已賠償
    新臺幣（下同）12萬元，彌補其等所受損害",0,0,1,0,0,1,0,0
2098,第224條,002a835954,"暨其國中畢業之智識
      程度，曾從事裝潢、防水工程之工作，未婚無子女之家庭
      狀況等",0,0,0,0,1,0,1,0
2099,第224條,002a835954,"行為
      後猶未知體認所為於法有違之態度",1,0,0,0,0,0,0,1
2100,第224條,002a835954,"趁甲女獨
      自一人出門時，以上揭方式遂行對甲女之強制猥褻犯行，
      造成心裡已經很脆弱之甲女內心嚴重受創，於本院審理到
      庭做證時，仍一度情緒崩潰，被告所為惡性非輕",0,1,0,0,0,0,0,1
2101,第224條,002a835954,"被告僅係因至乙女處從
      事裝修工程",0,0,0,0,1,0,1,0
2102,第224條,002a835954,"被告前有竊盜、傷害、多次搶奪前科，有其臺灣高
      等法院被告前案紀錄表在卷可查。",0,0,0,1,0,0,0,1
2103,第224條,0093ce79ff,"參酌其自陳因看到Ａ女就喜歡她之犯
    罪動機、目的、手段、素行，自陳高職肄業之智識程度，現
    從事火鍋店、月收入新臺幣2 萬多元、無人需其扶養之家庭
    經濟狀況",0,0,0,0,1,0,1,0
2104,第224條,0093ce79ff,"被告明知Ａ女為14歲以上未
    滿18歲之少年，心智發育尚未完全健全，竟為逞一己私慾，",0,0,0,0,1,0,0,1
2105,第224條,0093ce79ff,"其於本院坦承犯行，犯
    後態度尚可",1,0,0,0,0,1,0,0
2106,第224條,0093ce79ff," 違反Ａ女意願而恣意對之為強制猥褻行為，顯然欠缺對於他
    人性自主權之尊重，亦戕害Ａ女身心之健全成長",0,1,0,0,0,0,0,1
2107,第224條,0093ce79ff,"被告前
    因犯強制猥褻案而入監服刑，出獄後僅2 月許即再犯下本案
    ，所為顯應予非難",0,0,0,1,0,0,0,1
2108,第224條,0093ce79ff,"雖已與Ａ女及其法定代理人達成調解，惟並未
    依調解內容給付賠償金額等一切情狀",0,0,1,0,0,0,1,0
2109,第224條,00bf0f666d,"暨被告自陳係碩士肄業，工作是製造業主管
      ，有父母親、哥哥、姊姊，未婚之智識、家庭生活狀況等",0,0,0,0,1,0,1,0
2110,第224條,00bf0f666d,"為逞
      一己私慾，",0,0,0,0,1,0,0,1
2111,第224條,00bf0f666d,"犯後未
      能坦承犯行",1,0,0,0,0,0,0,1
2112,第224條,00bf0f666d,"侵入甲○之辦公室，以前揭強暴方式對甲○為
      撫摸臀部之猥褻行為，明顯欠缺對他人性自主之尊重，對
      甲○心理造成創傷、陰影非微，被告行為惡劣",0,1,0,0,0,0,0,1
2113,第224條,00bf0f666d,"被告前有多項前科，素行
      不佳，且已有妨害性自主之犯罪紀錄，仍不思悔改",0,0,0,1,0,0,0,1
2114,第224條,011ca5b35e,"兼衡被告自陳國小
    肄業之智識程度、家境小康及為A 渡假村之負責人",0,0,0,0,1,0,1,0
2115,第224條,011ca5b35e,"且被告始終否認犯行，及
    未彌補甲女所受傷害，顯見無悛悔之意",1,0,0,0,0,0,0,1
2116,第224條,011ca5b35e,"乘甲女單獨於吧檯內工作時碰觸告訴人之腰部、腹部，
    進而更違反甲女之意願對告訴人為撫摸胸部、摳弄乳頭、撫
    摸下體等強制猥褻行為，嚴重戕害甲女性自主權，對於甲女
    身心造成難以抹滅之傷害與陰影",0,1,0,0,0,0,0,1
2117,第224條,011ca5b35e,"被告身為企業之負責人，其
    言行於企業內動見觀瞻，明知甲女為建教合作學校之實習學
    生",0,0,0,0,1,0,1,0
2118,第224條,01e4374987,"經兼衡被告係大學畢業之
    教育程度、已婚有子、自述小康之家庭經濟生活狀況",0,0,0,0,1,0,1,0
2119,第224條,01e4374987,檢察官當庭表示之量刑意見等,0,0,0,0,1,0,1,0
2120,第224條,01e4374987,被告僅為滿足自己性慾,0,0,0,0,1,0,0,1
2121,第224條,01e4374987,犯後又否認犯行，應予非難,1,0,0,0,0,0,0,1
2122,第224條,01e4374987,"竟
    以對告訴人佯稱需由他人為其「排氣」之方式，取得告訴人
    信任後，違反告訴人意願而對告訴人為強制猥褻行為之犯罪
    動機、目的及手段，顯然不尊重告訴人之身體及性自主決定
    權，造成告訴人內心恐慌不安，對社會秩序及治安亦造成危
    害",0,1,0,0,0,0,0,1
2123,第224條,01e4374987,"暨其前未
    曾有何前科紀錄（見本院卷第221 頁所附臺灣高等法院被告
    前案紀錄表），素行尚可",0,0,0,1,0,1,0,0
2124,第224條,01e4374987,"並於本院審理時，當庭與告訴人
    達成和解，已賠償告訴人新臺幣10萬元，告訴人當庭表示可
    接受被告之真心道歉",0,0,1,0,0,1,0,0
2125,第224條,040660e5f0,"兼衡被告犯罪之動機、目的、手段、智識程度
    、生活狀況及素行",0,0,0,0,1,0,1,0
2126,第224條,040660e5f0,其犯後仍飾詞狡辯,1,0,0,0,0,0,0,1
2127,第224條,040660e5f0,"竟對稚齡丙女為強制猥褻之犯行，戕害丙女之身
    心，侵害丙女之身體自主權，並造成丙女心理陰影，犯罪所
    生危害甚鉅",0,1,0,0,0,0,0,1
2128,第224條,040660e5f0,"被告為被害人丙女之大伯之友人，因工作關係暫住在
    丙女家中",0,0,0,0,1,0,1,0
2129,第224條,05f848860f,另外考量的智識程度、家庭生活狀況及素行等,0,0,0,0,1,0,1,0
2130,第224條,05f848860f,"被告為滿足本身性慾，不顧A
    女心理人格對健全發展及心靈感受",0,0,0,0,1,0,0,1
2131,第224條,05f848860f,犯後否認犯行而無悔意,1,0,0,0,0,0,0,1
2132,第224條,05f848860f,"上述給付給A 女及A 女家屬的紅
    包均是被告之子（即證人乙○○）所支付，並非來自被告本
    身",1,0,0,0,0,0,0,1
2133,第224條,05f848860f,"利用A 女年幼未經人事
    且信任其之心理，竟對A 女為本件強制猥褻行為，行為造成
    A 女心理上的陰影，犯罪情節、惡性及所生危害非屬輕微，",0,1,0,0,0,0,0,1
2134,第224條,063bfe950d,"衡諸被
      告犯罪之動機、目的、手段、品行與智識程度、家庭經濟
      及生活狀況、犯罪所生之損害等一切情狀",0,0,0,0,1,0,1,0
2135,第224條,063bfe950d,被告為逞一己私慾,0,0,0,0,1,0,0,1
2136,第224條,063bfe950d,"念及被告已於本院準備程序期日坦承犯行
      ，且於本院準備程序時已與告訴人達成和解，此有本院準
      備程序筆錄及和解筆錄在卷為佐（見審侵訴卷第49至51頁
      ），足堪認被告犯後態度良好且深有悛悔之意",1,0,0,0,0,1,0,0
2137,第224條,063bfe950d,"竟違
      反告訴人意願而為強制猥褻行為，使告訴人身心受創，所
      為實屬不該",0,1,0,0,0,0,0,1
2138,第224條,0670fa7a03,"被告
    大學畢業、未婚無子、平時與父母同住、家境普通、前無前
    科及積極參與空手道活動等生活狀況、品行及智識程度",0,0,0,0,1,0,1,0
2139,第224條,0670fa7a03,"被告為滿足
    自己之性慾",0,0,0,0,1,0,1,0
2140,第224條,0670fa7a03,且迄今尚未與甲女達成和解、徵得甲女諒解之犯後態度,1,0,0,0,0,0,0,1
2141,第224條,0670fa7a03,"不尊重甲女之性自主決定權，造
    成甲女心理恐慌及不安全感之損害，所為係屬不該，應予非
    難",0,1,0,0,0,0,0,1
2142,第224條,0670fa7a03,"竟利用甲女一人於租屋處客廳過夜之機會，以
    上揭強暴方式對甲女為猥褻行為之動機、目的及手段",0,1,0,0,0,0,1,0
2143,第224條,0670fa7a03,"被
    告與甲女同為房客之關係",0,0,0,0,1,0,1,0
2144,第224條,079b6bdf67,"兼衡被告
    領有重度身心障礙證明、自陳國中肄業之智識程度，與其目
    前無業、貧寒之家庭經濟狀況",0,0,0,0,1,0,1,0
2145,第224條,079b6bdf67,"而
    本案之犯罪動機，係因被告對於男女間情感不當表達所致",0,0,0,0,1,0,1,0
2146,第224條,079b6bdf67,念其犯後態度尚稱良好,1,0,0,0,0,1,0,0
2147,第224條,079b6bdf67,"被告甲○○違反告訴人A 女之意願，侵害告訴人之性
    自主決定權，固屬可議",0,1,0,0,0,0,0,1
2148,第224條,079b6bdf67,"告訴人
    並當庭表示願意原諒被告",0,0,1,0,0,1,0,0
2149,第224條,093425bd6f,"被告自述為高中肄業之
      智識程度，曾從事粗工、清潔工等職業，經濟清寒等一切
      情狀",0,0,0,0,1,0,1,0
2150,第224條,093425bd6f,"被告為
      逞一時私慾",0,0,0,0,1,0,1,0
2151,第224條,093425bd6f,"不顧他人身體自主權及感受，利用公車行駛
      中晃動作為掩護，違反告訴人甲○之意願，對告訴人為猥
      褻之行為，造成告訴人心理及精神上蒙受難以磨滅之陰影
      ，所為應予非難",0,1,0,0,0,0,0,1
2152,第224條,093425bd6f,"被告前曾有竊盜、詐欺、妨害風化、違反著作權法
      及違反商業會計法等前科紀錄（不構成累犯），此有臺灣
      高等法院被告前案紀錄表在卷可參，素行非佳",0,0,0,1,0,0,0,1
2153,第224條,0a0711a072,"兼衡其教育程度、家
      庭、經濟（涉個人隱私，詳卷）等一切情狀",0,0,0,0,1,0,1,0
2154,第224條,0a0711a072,被告為滿足自身慾念,0,0,0,0,1,0,1,0
2155,第224條,0a0711a072,"念其犯
      後於本院審理時終能坦承犯行，且與告訴人調解成立，並
      已履行部分調解條件",1,0,0,0,0,1,0,0
2156,第224條,0a0711a072,"違
      反告訴人意願而對之為上開猥褻行為，侵害告訴人身體自
      主權，對告訴人造成身心傷害，行為殊無可取",0,1,0,0,0,0,0,1
2157,第224條,0a0711a072,"乙○○與代號0000甲000000之女子（真實姓名年籍詳卷，下
    稱甲女）於民國107年7月7日在網路上結識",0,0,0,0,1,0,1,0
2158,第224條,0a0711a072,經告訴人具狀請求對被告從輕量刑,0,0,1,0,0,1,0,0
2159,第224條,0c7ea74fe3,"兼衡其自陳
    國中畢業之教育智識程度、目前從事焊接工之工作、月薪約
    新臺幣45,000元、單身、無家人待其扶養之家庭生活經濟狀
    況",0,0,0,0,1,0,1,0
2160,第224條,0c7ea74fe3,"被告為逞一
    己之私慾",0,0,0,0,1,0,1,0
2161,第224條,0c7ea74fe3,念及被告犯後坦承犯行，態度尚佳,1,0,0,0,0,1,0,0
2162,第224條,0c7ea74fe3,"不顧他人身體自主權及感受，而強行對告訴人Ａ
    女為強制猥褻行為，對Ａ女人格及身心發展產生相當之負面
    影響，行為應予非難",0,1,0,0,0,0,0,1
2163,第224條,0c7ea74fe3,"被告為告訴人A 女之舅舅
    ，與A女間係旁系血親關係",0,0,0,0,1,0,1,0
2164,第224條,0c7ea74fe3,且與告訴人A 女達成和解，告訴人亦表示願意宥恕被告,0,0,1,0,0,1,0,0
2165,第224條,0e0d4892d4,"兼衡酌其犯罪之動機、手段、情節
    、平日生活與工作狀況、高工畢業之智識程度等",0,0,0,0,1,0,1,0
2166,第224條,0e0d4892d4,"不知尊重他人性自主權
    ，為逞個人一己私慾",0,0,0,0,1,0,0,1
2167,第224條,0e0d4892d4,"惟念及被告犯
    後坦承犯行之犯後態度",1,0,0,0,0,1,0,0
2168,第224條,0e0d4892d4,"見告訴人A女單獨行走於路上之際認
    有機可趁，即環抱A女將之拖拉至路邊，對之為前揭強制猥
    褻行為，造成A女心理創傷，所為甚屬不該",0,1,0,0,0,0,0,1
2169,第224條,0e0d4892d4,"張智峰與代號3429A-000000號成年女子（真實姓名、年籍詳
    卷，下稱A女）為朋友",0,0,0,0,1,0,1,0
2170,第224條,0f46b457d4,"兼
    衡其犯罪之動機、目的及手段、國中畢業之智識程度，家庭
    經濟狀況小康等生活情形",0,0,0,0,1,0,1,0
2171,第224條,0f46b457d4,為圖一己性慾之滿足,0,0,0,0,1,0,1,0
2172,第224條,0f46b457d4,"雖已與甲女和解但分毫未償，
    此有調解成立筆錄1份在卷足佐（見本院卷第29頁），參以
    被告迄今否認部分犯行，未見悔意，被告犯後態度不佳",1,0,0,0,0,0,0,1
2173,第224條,0f46b457d4,"對
    甲女為上開強制猥褻行為，毫不尊重甲女之性自主決定權，
    致甲女身心受創、惶惶不安",0,1,0,0,0,0,0,1
2174,第224條,0f46b457d4,審酌被告與甲女為國中同學,0,0,0,0,1,0,1,0
2175,第224條,0f70097bea,"被告高中肄業之智識程
    度，未婚無子女，以開砂石車為業，月收入約4萬3千元，偶
    爾會拿一些生活費給父親，金額不定，無貸款、債務，無領
    政府補助之家庭經濟狀況等",0,0,0,0,1,0,1,0
2176,第224條,0f70097bea,本案未能尊重女性態度輕佻，為逞一己私慾,0,0,0,0,1,0,0,1
2177,第224條,0f70097bea,"違反A 女之
    意願，對A女為強制猥褻行為，漠視A女人格尊嚴及性自主法
    益",0,1,0,0,0,0,0,1
2178,第224條,0f70097bea,"丙○○與代號0000甲000000 之成年女子（真實姓名年籍詳卷
    ，下稱A女）為朋友關係",0,0,0,0,1,0,1,0
2179,第224條,0f70097bea,被告並無前科紀錄，素行尚可,0,0,0,1,0,1,0,0
2180,第224條,1106c53a8a,"考量被告犯罪之動機、目的、手段，兼衡其未婚、家庭經
    濟狀況小康、因罹患思覺失調症，而持續就醫服藥中（參見
    本院卷第87至91頁）之生活狀況、專科畢業之智識程度",0,0,0,0,1,0,1,0
2181,第224條,1106c53a8a,被告為逞一己私慾,0,0,0,0,1,0,1,0
2182,第224條,1106c53a8a,犯罪後坦承犯行，態度尚可,1,0,0,0,0,1,0,0
2183,第224條,1106c53a8a,"違反Ａ女之意願方式為猥褻行
    為，欠缺尊重他人身體自主權之守法觀念，行為應嚴予非難",0,1,0,0,0,0,0,1
2184,第224條,1106c53a8a,"然尚未與告訴人Ａ女達成和解
    ，並取得告訴人之原諒等",0,0,1,0,0,0,1,0
2185,第224條,1377d942d9,"被告於審理時自陳其為大學畢
      業之智識程度，未婚、從事按摩業之家庭生活狀況",0,0,0,0,1,0,1,0
2186,第224條,1377d942d9,"被
      告為逞一己私慾",0,0,0,0,1,0,1,0
2187,第224條,1377d942d9,"且被
      告犯後猶否認犯行，亦未能與A 女達成和解並獲得其諒解
      ，犯後態度難認良好",1,0,0,0,0,0,0,1
2188,第224條,1377d942d9,"利用替A 女按摩之機會，強行對A 女為
      上開猥褻行為，未能尊重他人之性自主決定權，足見被告
      法紀觀念淡薄，亦使A 女身心受創，所為應予非難",0,1,0,0,0,0,0,1
2189,第224條,1377d942d9,被告與A 女僅為初識,0,0,0,0,1,0,1,0
2190,第224條,1377d942d9,前無犯罪科刑紀錄之素行,0,0,0,1,0,0,1,0
2191,第224條,14c7cfa935,"並衡以其犯罪動機
    、目的及手段，另考量其自述國中畢業之教育程度，現從事
    美髮業，月薪約新臺幣3萬元左右，離婚、2名兒子已成年，
    女兒與前妻同住，現與女友同居，父母均仍健在，並未工作
    ，尚有1名弟弟，然主要由被告扶養父母",0,0,0,0,1,0,1,0
2192,第224條,14c7cfa935,為逞一己私慾，,0,0,0,0,1,0,1,0
2193,第224條,14c7cfa935,"犯後坦承犯行，並已與
    告訴人達成和解，且獲告訴人之諒解",1,0,0,0,0,1,0,0
2194,第224條,14c7cfa935,"藉
    故將告訴人留滯店內，並以違反告訴人之意願，搓揉告訴人
    之胸部，不尊重女性之身體自主權，造成告訴人心靈創傷及
    心理陰影與不安全感，實應非難",0,1,0,0,0,0,0,1
2195,第224條,16b184a193,"伊與被告服務之機關已眾人皆知，伊因本案受到之壓力甚鉅
    等語（見本院卷第26頁），可知被告係告訴人甲○長官，未
    能躬先表率，實非可取",0,0,0,0,1,0,1,0
2196,第224條,16b184a193,被告酒後亂性，一時衝動逞其性慾之犯罪動機,0,0,0,0,1,0,1,0
2197,第224條,16b184a193,被告所為顯不尊重他人之身體自主權,0,1,0,0,0,0,0,1
2198,第224條,16b184a193,"所為更致告訴人甲○在職場遭人議
    論紛紛，致內心承受莫大壓力，犯罪所生損害非微",0,1,0,0,0,0,0,1
2199,第224條,16b184a193,"考量被告之行為
    尚未因此造成告訴人甲○受有任何身體上之傷害，手段尚非
    極為殘暴，且其行為持續時間尚短之犯罪情節",0,1,0,0,0,1,0,0
2200,第224條,16b184a193,"參告訴人甲
    ○陳述：伊與被告均服務於同機關，被告為伊長官",0,0,0,0,1,0,1,0
2201,第224條,16b184a193,"審酌被告前未曾因觸犯刑律經判決罪刑，有臺灣高等法院
    被告前案紀錄表1 份在卷可按（見本院卷第5 至9 頁），素
    行非惡",0,0,0,1,0,1,0,0
2202,第224條,17170e77b2,"復衡以被告自陳現仍在大學就學之智
    識程度，未婚、與父母與妹妹同住、家庭經濟情況小康之家
    庭、經濟情況",0,0,0,0,1,0,1,0
2203,第224條,17170e77b2,"犯後坦認犯行，知所悔悟，並於本院審理時當庭向告訴人歉
    ，且與告訴人達成和解，同意賠償新臺幣20萬元，並已給付
    完畢，業據告訴人陳述明確（見本院卷第22頁反面），堪認
    被告犯後已深有悔意",1,0,0,0,0,1,0,0
2204,第224條,17170e77b2,"卻因無法克制
    己身情慾，不顧其與告訴人之友誼與信任，率爾違背告訴人
    意願對其為強制猥褻行為，戕害告訴人之身心健康，所為實
    值非難",0,1,0,0,0,0,0,1
2205,第224條,17170e77b2,被告與告訴人甲女為同窗好友關係,0,0,0,0,1,0,1,0
2206,第224條,17170e77b2,"念及其行為時年紀尚輕，且並無受法院論罪科刑
    之前科，此有本院被告前案紀錄表在卷可稽，素行尚可",0,0,0,1,0,1,0,0
2207,第224條,17170e77b2,"告訴人於本院審理
    時亦表示同意予被告自新機會之情",0,0,1,0,0,1,0,0
2208,第224條,17723b94ae,"智識程
    度為高中肄業、經營車床工廠、經濟狀況不佳等一切情狀",0,0,0,0,1,0,1,0
2209,第224條,17723b94ae,其犯罪動機係為滿足自身慾望,0,0,0,0,1,0,1,0
2210,第224條,17723b94ae,被告為逞一己之私慾,0,0,0,0,1,0,1,0
2211,第224條,17723b94ae,"又其於本院審理
    時仍否認犯行",1,0,0,0,0,0,0,1
2212,第224條,17723b94ae,"顧
    倫常，明知告訴人A女為同居人A母未滿18歲之女兒，竟仍對
    A女為強制猥褻之行為，致A女身心受創，嚴重違背善良風俗
    ，亦對社會產生負面影響，行為殊值非難",0,1,0,0,0,0,0,1
2213,第224條,17723b94ae,被告為A母同居男友，並與A女同住於被告上開蘆洲住處,0,0,0,0,1,0,1,0
2214,第224條,1894fe359d,"衡其犯罪之動機、目的、手
    段、自陳國小肄業之智識程度、無業之家庭生活經濟狀況（
    見侵訴卷第75頁）、現罹患下咽癌、食道癌",0,0,0,0,1,0,1,0
2215,第224條,1894fe359d,被告為逞一己之私慾,0,0,0,0,1,0,0,1
2216,第224條,1894fe359d,"犯後猶不知悔悟
    ，飾詞狡辯，所為殊值非難",1,0,0,0,0,0,0,1
2217,第224條,1894fe359d,"竟漠視他人之身體及性自主權
    ，對A 女為強制猥褻之行為，固未使A 女受有身體上之傷害
    ，然仍對A 女造成難以抹滅之心理創傷",0,1,0,0,0,0,0,1
2218,第224條,191c593707,被告曾翊芃為逞私慾，一時失慮致肇犯行,0,0,0,0,1,0,1,0
2219,第224條,191c593707,且被告曾翊芃犯後坦承犯行，深具悔意,1,0,0,0,0,1,0,0
2220,第224條,191c593707,"對甲女
    強制猥褻，造成甲女身心受創",0,1,0,0,0,0,0,1
2221,第224條,191c593707,"甲女於本庭少年法庭調查
    時表示願意原諒曾翊芃等語",0,0,1,0,0,1,0,0
2222,第224條,1a5c6c96b5,"兼衡被告本案犯罪之手段
    、大專畢業、勉持之家庭經濟狀況（見偵查卷第7 頁）等",0,0,0,0,1,0,1,0
2223,第224條,1a5c6c96b5,"然其為滿
    足一時之性慾",0,0,0,0,1,0,0,1
2224,第224條,1a5c6c96b5,"考量被告犯後已坦
    承犯行，且與告訴人達成調解並賠償新臺幣30萬元",1,0,0,0,0,1,0,0
2225,第224條,1a5c6c96b5,"而為本案強制猥褻之犯行，未能尊重他人性
    自主決定權，造成告訴人心理恐慌、嫌惡及不安全感，破壞
    告訴人對人之信賴感，所為殊值非難",0,1,0,0,0,0,0,1
2226,第224條,1a5c6c96b5,"乙○○與代號0000-000000 之女子（真實姓名年籍等資料詳
    卷，下稱甲○）同係位於新北市三峽區全○福鞋店（店名及
    地址詳卷）之員工",0,0,0,0,1,0,1,0
2227,第224條,1a5c6c96b5,"被告前無犯罪前科紀錄，有
    其臺灣高等法院被告前案紀錄表可參，素行尚可",0,0,0,1,0,1,0,0
2228,第224條,1a5c6c96b5,"獲得告
    訴人之宥恕",0,0,1,0,0,1,0,0
2229,第224條,1ab02b94d8,"兼衡其為高職肄
    業之智識程度、家庭經濟生活狀況，以及其犯罪動機、目的
    、手段等一切情狀",0,0,0,0,1,0,1,0
2230,第224條,1ab02b94d8,於犯後仍否認犯行，態度非佳,1,0,0,0,0,0,0,1
2231,第224條,1ab02b94d8,"被告違反他人意願，觸摸他人之私密身體部位，嚴重
    侵害告訴人之身體自主權，對告訴人之心理造成創傷，實無
    足取",0,1,0,0,0,0,0,1
2232,第224條,1f481ccb04,審酌被告智識思慮均屬正常,0,0,0,0,1,0,1,0
2233,第224條,1f481ccb04,兼衡其高職畢業、業工、家庭經濟狀況為小康,0,0,0,0,1,0,1,0
2234,第224條,1f481ccb04,竟為逞一時色慾,0,0,0,0,1,0,0,1
2235,第224條,1f481ccb04,"犯罪動機係出於愛慕
    A 女",0,0,0,0,1,1,0,0
2236,第224條,1f481ccb04,被告未與A 女達成和解及彌補其等所受創傷等一切情狀,1,0,0,0,0,0,1,0
2237,第224條,1f481ccb04,"犯罪之手段尚屬平和，於A 女極力反抗後遂
    放棄犯行，未造成A 女更嚴重之傷害",0,1,0,0,0,1,0,0
2238,第224條,1f481ccb04,"不知尊
    重他人身體及性自主意願，對A 女為強制猥褻行為",0,1,0,0,0,0,1,0
2239,第224條,1f481ccb04,"另考量
    其於有期徒刑執行完畢後之5 年內故意再犯本案，有臺灣高
    等法院被告前案紀錄表可查，堪認素行不良",0,0,0,1,0,0,0,1
2240,第224條,1f88ce1844,"兼衡被告自述大學肄業之智識程度，目前在
    家中做甜點並在網路上販售，本案發生時，在嘉義的烏斯塔
    土耳其餐廳工作",0,0,0,0,1,0,1,0
2241,第224條,1f88ce1844,"與太太
    的親人住在一起（參本院卷第 229頁）之生活與家庭概況等
    一切情況，量處主文所示之刑，以資懲儆",0,0,0,0,1,0,1,0
2242,第224條,1f88ce1844,"犯後否認犯行，未與告訴人達成和解，亦未獲告
    訴人之諒解",1,0,0,0,0,0,0,1
2243,第224條,1f88ce1844,"藉著酒意，違反告
    訴人意願，以上開手段對告訴人為猥褻行為，欠缺對於女性
    身體自主權之尊重意識，造成告訴人身、心之傷害，所為應
    值非難",0,0,1,0,0,0,0,1
2244,第224條,2045bf689d,"被告自陳大學之智識程度（
    見被告警詢筆錄教育程度欄）、已婚、職業為畫家等家庭生
    活經濟狀況（詳本院侵訴卷第211 頁）等",0,0,0,0,1,0,1,0
2245,第224條,2045bf689d,"為逞一
    己私慾，",0,0,0,0,1,0,0,1
2246,第224條,2045bf689d,"罔顧人倫，於甲女年齡甫滿16歲、身心發展未臻健
    全之階段，對甲女施加本案強制猥褻犯行，顯然欠缺對於他
    人性自主權之尊重等犯罪動機、目的、手段",0,1,0,0,0,0,0,1
2247,第224條,2045bf689d,"審酌甲女指
    陳本案後看到被告這個年紀的男生或像被告的人會感到害怕
    、噁心等語（偵字第11789 號卷66頁），被告本案犯行已對
    甲女造成心理陰影影響非微",0,1,0,0,0,0,0,1
2248,第224條,2045bf689d,被告身為甲女繼父,0,0,0,0,1,0,1,0
2249,第224條,21bba006e6,"復考量其
    犯罪之動機、手段及所造成危害；兼衡被告自述智識程度為
    高中畢業、目前在加工區工作、月收入新臺幣28000 元（見
    本院卷第87頁）",0,0,0,0,1,0,1,0
2250,第224條,21bba006e6,"檢察官指明被告與A 女前男友住樓上、樓下，並非沒有聯
    絡管道，被告犯後未主動尋求彌補過錯，可見被告根本沒有
    悔意，建請從重量刑等",0,0,0,0,1,0,1,0
2251,第224條,21bba006e6,"念被告終
    能坦承犯行",1,0,0,0,0,1,0,0
2252,第224條,21bba006e6,"被告無視Ａ女為未滿18歲少年
    ，僅為滿足個人性慾，竟對Ａ女為前開強制猥褻之行為，嚴
    重戕害Ａ女之身心健全成長，所為誠屬不該",0,1,0,0,0,0,0,1
2253,第224條,21bba006e6,"前無刑事前科紀錄，有臺灣高等法院被告前
    案紀錄表1 份在卷足參（見前科紀錄卷第9 頁）",0,0,0,1,0,1,0,0
2254,第224條,21bba006e6,"迄未與告訴
    人等達成和解或賠償其等所受損害，實有可議",0,0,1,0,0,0,0,1
2255,第224條,22dc85d56a,"兼衡被告自述高
    中畢業之教育程度、從事食品加工業、月入新臺幣2、3萬元
    、家境小康之生活狀況（見偵卷第3頁被告警詢筆錄「受詢
    問人欄」、侵訴卷第53頁）等",0,0,0,0,1,0,1,0
2256,第224條,22dc85d56a,"審酌被告
    僅因對甲女有好感，竟為逞一己私慾",0,0,0,0,1,0,0,1
2257,第224條,22dc85d56a,"犯後猶飾詞卸責，未見認錯悔
    改之意，不宜予以輕縱",1,0,0,0,0,0,0,1
2258,第224條,22dc85d56a,"罔顧甲女之性自主決
    定權、身體控制權，趁與甲女在公園內聊天之際，不顧甲女
    反對，任意撫摸、親吻其臉頰、搓揉其肩膀、摟抱及撫摸其
    胸部，造成甲女心靈受創",0,1,0,0,0,0,0,1
2259,第224條,22dc85d56a,本案強制猥褻之手段尚非殘暴,0,1,0,0,0,1,0,0
2260,第224條,22dc85d56a,惟念被告前無故意犯罪之前科紀錄,0,0,0,1,0,1,0,0
2261,第224條,23a8cfc0f1,"被告年滿40歲，係具有一般
    智識經驗之人，不思控制自身情緒",0,0,0,0,1,0,1,0
2262,第224條,23a8cfc0f1,"衡酌被
    告犯罪之動機、目的、手段、所生損害、自稱現從事汽車維
    修業、教育程度高職畢業、喪偶無子女、每月扶養父親2 萬
    餘元、每月住處房貸近5 萬元、工廠租金每月3 萬8,000 元
    、每月薪資所剩無幾（見警卷第5 頁、本院卷第20、39頁）
    等",0,0,0,0,1,0,1,0
2263,第224條,23a8cfc0f1,"然慮及被告業於本院準備程序及審
    判時坦承犯行，並與告訴人於107 年3 月6 日以新臺幣（下
    同）30萬元達成和解，並已履行完畢",1,0,0,0,0,1,0,0
2264,第224條,23a8cfc0f1,"未能尊重告訴人之身
    體完整權及性自主決定權，恣意於情緒失控之際，徒手傷害
    及強制猥褻告訴人，致告訴人受有犯罪事實欄所示之非輕傷
    勢，所為實應加以非難",0,0,1,0,0,0,0,1
2265,第224條,2498e4c62b,"被告自述高職夜校畢業
    之教育程度、在夜市擺攤、與父母同住",0,0,0,0,1,0,1,0
2266,第224條,2498e4c62b,被告為滿足個人之性慾,0,0,0,0,1,0,0,1
2267,第224條,2498e4c62b,"犯後又一再否認犯行，並以LINE通訊軟體
    傳訊息給甲女，辱罵甲女，在本院審理時又拒絕與甲女洽談
    和解，甚至揚言只要沒有證據證明他犯罪，就要對甲女提告
    ，其行為囂張，犯後態度惡劣",1,0,0,0,0,0,0,1
2268,第224條,2498e4c62b,"不顧甲女的反抗，
    將手伸進甲女的胸罩裡面撫摸甲女胸部、親吻甲女嘴巴及隔
    著褲子撫摸甲女下體，又拉甲女的手去摸被告自己的下體等
    行為對甲女猥褻",0,1,0,0,0,0,0,1
